r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Sm-Cl,g(r)_unweighted_Sm-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Sm-Cl,Average_SCL,lambda_BC
1.5345270032132134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.5423963724604606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.550265741707708,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.558135110954955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.5660044802022024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.5738738494494495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.5817432186966969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.589612587943944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.5974819571911913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6053513264384387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6132206956856858,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6210900649329332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6289594341801803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6368288034274276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6446981726746748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6525675419219221,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6604369111691692,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6683062804164166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6761756496636637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.684045018910911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6919143881581584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.6997837574054055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.707653126652653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.7155224958999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.7233918651471474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.7312612343943945,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.7391306036416418,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.746999972888889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.7548693421361363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.7627387113833834,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.7706080806306308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.7784774498778781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.7863468191251253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.7942161883723726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.8020855576196197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.809954926866867,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.8178242961141142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.8256936653613616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.8335630346086087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.841432403855856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.8493017731031034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.8571711423503505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.8650405115975979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.872909880844845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.8807792500920923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.8886486193393395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.8965179885865868,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.904387357833834,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.9122567270810813,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.9201260963283284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.9279954655755758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.9358648348228231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.9437342040700702,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.9516035733173176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
